,경제성장률(실질GDP성장률)
2010_01,7.3
2010_02,7.9
2010_03,5.8
2010_04,6.3
2011_01,5.4
2011_02,3.8
2011_03,3.1
2011_04,2.6
2012_01,2.4
2012_02,2.4
2012_03,2.3
2012_04,2.5
2013_01,2.3
2013_02,2.9
2013_03,3.5
2013_04,3.9
2014_01,3.8
2014_02,3.4
2014_03,3.1
2014_04,2.6
2015_01,2.5
2015_02,2.0
2015_03,3.3
2015_04,3.4
2016_01,2.8
2016_02,3.6
2016_03,2.8
2016_04,2.7
2017_01,3.1
2017_02,2.8
2017_03,2.9
2017_04,2.8
2018_01,2.8
2018_02,2.9
2018_03,2.1
2018_04,2.9
2019_01,1.7
2019_02,2.0
2019_03,2.0
2019_04,2.3
